iter	Passed	Remaining
483	618	659
484	619	658
485	620	656
486	622	655
487	623	653
488	624	652
489	625	651
490	627	650
491	628	649
492	630	647
493	631	646
494	632	645
495	633	644
496	635	642
497	636	641
498	637	640
499	638	638
500	639	637
501	641	636
502	642	634
503	643	633
504	644	631
505	645	630
506	647	629
507	648	627
508	649	626
509	650	625
510	651	623
511	653	622
512	654	621
513	655	619
514	656	618
515	658	617
516	659	615
517	660	614
518	661	612
519	662	611
520	663	610
521	665	609
522	666	607
523	667	606
524	668	605
525	670	603
526	671	602
527	672	601
528	673	599
529	674	598
530	675	596
531	677	595
532	678	594
533	679	593
534	680	591
535	682	590
536	683	589
537	684	588
538	686	586
539	687	585
540	688	583
541	689	582
542	690	581
543	691	579
544	692	578
545	694	577
546	695	576
547	696	574
548	698	573
549	699	572
550	700	570
551	701	569
552	703	568
553	704	567
554	705	565
555	706	564
556	707	563
557	708	561
558	710	560
559	711	559
560	712	557
561	714	556
562	715	555
563	716	553
564	717	552
565	718	551
566	720	549
567	721	548
568	722	547
569	723	546
570	724	544
571	726	543
572	727	542
573	728	540
574	729	539
575	730	538
576	732	536
577	733	535
578	734	534
579	735	532
580	737	531
581	738	530
582	739	529
583	741	528
584	742	527
585	744	525
586	745	524
587	746	523
588	748	522
589	750	521
590	751	520
591	753	519
592	754	517
593	755	516
594	757	515
595	758	514
596	759	512
597	760	511
598	762	510
599	763	508
600	764	507
601	765	506
602	766	504
603	768	503
604	769	502
605	770	501
606	771	499
607	772	498
608	774	497
609	775	495
610	776	494
611	777	493
612	778	491
613	780	490
614	781	489
615	782	487
616	783	486
617	785	485
618	786	484
619	787	482
620	788	481
621	789	480
622	791	478
623	792	477
624	793	475
625	794	474
626	795	473
627	796	472
628	798	470
629	799	469
630	800	468
631	801	466
632	803	465
633	804	464
634	805	462
635	806	461
636	807	460
637	808	458
638	810	457
639	811	456
640	812	454
641	813	453
642	814	452
643	815	451
644	817	449
645	818	448
646	819	447
647	820	445
648	821	444
649	823	443
650	824	442
651	825	440
652	826	439
653	827	438
654	829	436
655	830	435
656	831	434
657	832	432
658	834	431
659	835	430
660	836	428
661	837	427
662	838	426
663	839	424
664	840	423
665	841	422
666	843	420
667	844	419
668	845	418
669	846	416
670	847	415
671	849	414
672	850	413
673	851	411
674	852	410
675	853	409
676	854	407
677	856	406
678	857	405
679	858	403
680	859	402
681	860	401
682	861	400
683	863	398
684	864	397
685	865	396
686	867	395
687	868	393
688	869	392
689	870	391
690	871	389
691	873	388
692	874	387
693	875	385
694	876	384
695	877	383
696	879	382
697	880	380
698	881	379
699	883	378
700	884	377
701	885	375
702	886	374
703	887	373
704	889	372
705	890	370
706	891	369
707	893	368
708	894	367
709	895	365
710	896	364
711	897	363
712	898	361
713	899	360
714	900	359
715	902	357
716	903	356
717	904	355
718	905	353
719	906	352
720	907	351
721	909	350
722	910	348
723	911	347
724	912	346
725	913	344
726	914	343
727	916	342
728	917	340
729	918	339
730	919	338
731	920	337
732	921	335
733	924	335
734	925	333
735	926	332
736	928	331
737	929	329
738	930	328
739	931	327
740	932	326
741	934	324
742	935	323
743	936	322
744	938	321
745	939	319
746	940	318
747	941	317
748	942	315
749	943	314
750	945	313
751	946	312
752	947	310
753	948	309
754	949	308
755	951	306
756	952	305
757	953	304
758	955	303
759	956	302
760	957	300
761	959	299
762	960	298
763	961	297
764	962	295
765	964	294
766	965	293
767	966	291
768	967	290
769	969	289
770	971	288
771	972	287
772	973	285
773	975	284
774	976	283
775	977	282
776	978	280
777	979	279
778	980	278
779	982	276
780	983	275
781	985	274
782	986	273
783	987	272
784	989	270
785	990	269
786	991	268
787	992	267
788	993	265
789	996	264
790	997	263
791	1000	262
792	1001	261
793	1003	260
794	1004	258
795	1005	257
796	1007	256
797	1008	255
798	1010	254
799	1011	252
800	1012	251
801	1015	250
802	1017	249
803	1019	248
804	1021	247
805	1022	246
806	1024	244
807	1026	243
808	1028	242
809	1030	241
810	1032	240
811	1034	239
812	1036	238
813	1039	237
814	1041	236
815	1043	235
816	1046	234
817	1047	233
818	1050	232
819	1053	231
820	1055	230
821	1057	228
822	1058	227
823	1061	226
824	1064	225
825	1066	224
826	1067	223
827	1069	222
828	1070	220
829	1071	219
830	1073	218
831	1074	216
832	1075	215
833	1077	214
834	1078	213
835	1079	211
836	1081	210
837	1082	209
838	1084	208
839	1085	206
840	1086	205
841	1088	204
842	1089	202
843	1090	201
844	1092	200
845	1094	199
846	1095	197
847	1097	196
848	1098	195
849	1100	194
850	1101	192
851	1102	191
852	1104	190
853	1105	188
854	1107	187
855	1109	186
856	1111	185
857	1112	184
858	1113	182
859	1114	181
860	1116	180
861	1117	178
862	1118	177
863	1120	176
864	1121	175
865	1123	173
866	1124	172
867	1125	171
868	1126	169
869	1128	168
870	1129	167
871	1132	166
872	1134	165
873	1136	163
874	1137	162
875	1139	161
876	1140	160
877	1142	158
878	1143	157
879	1144	156
880	1146	154
881	1147	153
882	1148	152
883	1150	150
884	1151	149
885	1153	148
886	1154	147
887	1155	145
888	1157	144
889	1158	143
890	1159	141
